ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSB,MARIA APARECIDA SILVA DE MATOS,CIDINHA MATOS,40789,,DEFERIDO,SUPLENTE,186
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PL,JORGINA AYRES COELHO DE ARAUJO,DRª JÔ,22033,,DEFERIDO,SUPLENTE,184
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PSB,VALDIR ALVARENGA,VALDIR ALVARENGA,40636,,DEFERIDO,MÉDIA,184
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PV,ANDRE MARCOS RIBEIRO BRAGA,ANDRÉ BRAGA,43151,,DEFERIDO,NÃO ELEITO,184
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PRONA,MANOEL RAMOS FILHO,MANOEL RAMOS,56051,,DEFERIDO,SUPLENTE,184
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PL,WELLINGTON RONALDO COSTA,RONALDO PARDAL,22123,,DEFERIDO,SUPLENTE,184
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PFL,FLORIVALDO ROCHA,FLORIVALDO ROCHA,25789,,DEFERIDO,SUPLENTE,182
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PT,MARIA ZELITA DOS RAMOS,ZELITA,13400,,DEFERIDO,SUPLENTE,180
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PFL,RODOLFO CHRISTIAN MINAS,DODÔ,25943,,DEFERIDO,SUPLENTE,179
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PSB,JAIRO PINTOS,JAIRO PINTOS,40640,,DEFERIDO,SUPLENTE,179
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PPS,NILTON DE JESUS MOREIRA,MOREIRA,23666,,DEFERIDO,SUPLENTE,177
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PPS,JOSÉ BENEDITO DOS SANTOS,JB,23111,,DEFERIDO,SUPLENTE,177
